Year;Country;id;Y;I;N;YRD;NRD;LF
1948;USA;1;2118.5;267.3;99.1;7.4;38.8;60622.5
1949;USA;1;2106.6;206.7;95.6;6.5;43.4;61288.3
1950;USA;1;2289.5;287.9;100.1;7.6;49.3;62210.2
1951;USA;1;2473.8;288.6;108.5;8.1;56.2;62017.7
1952;USA;1;2574.9;265.0;110.8;11.0;63.4;62136.9
1953;USA;1;2695.6;279.9;112.2;13.8;71.1;63014.3
1954;USA;1;2680.0;268.9;107.7;14.6;79.6;63642.7
1955;USA;1;2871.2;331.1;111.2;15.3;87.8;65023.4
1956;USA;1;2932.4;330.2;113.6;19.5;96.0;66551.8
1957;USA;1;2994.1;317.8;113.3;19.9;104.5;66926.4
1958;USA;1;2972.0;294.8;109.7;21.0;113.2;67638.0
1959;USA;1;3178.2;351.4;113.2;22.7;122.2;68369.3
1960;USA;1;3260.0;352.7;114.7;25.0;131.7;69627.0
1961;USA;1;3343.5;353.8;114.6;26.6;141.9;70459.0
1962;USA;1;3548.4;395.9;118.1;28.8;153.1;70614.6
1963;USA;1;3702.9;422.8;120.1;30.9;165.4;71832.8
1964;USA;1;3916.3;456.1;122.9;33.3;179.3;73090.2
1965;USA;1;4170.8;519.2;127.6;37.3;195.1;74454.3
1966;USA;1;4445.9;565.9;134.0;41.6;212.6;75775.8
1967;USA;1;4567.8;546.1;136.2;46.0;232.5;77347.3
1968;USA;1;4792.3;578.7;139.1;49.8;254.9;78736.7
1969;USA;1;4942.1;610.9;143.0;53.0;279.9;80732.8
1970;USA;1;4951.3;573.8;140.8;53.2;308.6;82771.0
1971;USA;1;5114.3;632.9;140.0;53.1;339.4;84383.0
1972;USA;1;5383.3;704.2;144.1;55.6;371.5;87035.0
1973;USA;1;5687.2;781.3;150.3;59.4;404.8;89430.2
1974;USA;1;5656.5;729.5;150.5;59.6;437.2;91950.7
1975;USA;1;5644.8;611.4;146.5;58.7;469.9;93775.3
1976;USA;1;5949.0;728.0;150.7;62.4;502.6;96158.8
1977;USA;1;6224.1;831.9;155.8;65.7;534.4;99009.3
1978;USA;1;6568.6;928.1;162.9;70.8;565.0;102251.2
1979;USA;1;6776.6;960.7;167.6;76.0;596.1;104963.9
1980;USA;1;6759.2;864.0;166.6;81.1;627.1;106939.8
1981;USA;1;6930.7;940.1;167.8;86.3;658.3;108670.1
1982;USA;1;6805.8;822.0;163.8;90.8;689.3;110204.5
1983;USA;1;7117.7;898.7;166.1;95.9;720.9;111550.3
1984;USA;1;7632.8;1144.0;174.2;105.7;752.9;113543.9
1985;USA;1;7951.1;1143.2;177.6;114.7;784.9;115461.3
1986;USA;1;8226.4;1145.0;179.6;119.4;817.6;117834.5
1987;USA;1;8511.0;1177.6;184.8;121.7;849.6;119865.2
1988;USA;1;8866.5;1206.6;189.7;128.2;882.5;121668.8
1989;USA;1;9192.1;1255.4;194.9;137.0;913.2;123846.1
